"time","speed","category","start_lat","start_lon","end_lat","end_lon","is_fixed","iri","distance","suspension"
"08:10:17 2017-April-27","27.38","POOR","20.04651824","105.84512746","20.0468347","105.84421752","true","7.23","101.44","SUV"
"08:10:29 2017-April-27","30.74","POOR","20.0468347","105.84421752","20.04711411","105.84330599","true","6.68","100.25","SUV"
"08:10:41 2017-April-27","29.76","POOR","20.04711411","105.84330599","20.04735669","105.84235791","true","6.57","102.76","SUV"
"08:10:51 2017-April-27","36.93","POOR","20.04735669","105.84235791","20.04761321","105.84140397","true","7","103.76","SUV"
"08:11:01 2017-April-27","38.65","POOR","20.04761321","105.84140397","20.04788307","105.84041742","true","7.65","107.45","SUV"
"08:11:11 2017-April-27","39.47","POOR","20.04788307","105.84041742","20.04817354","105.83942676","true","8.67","108.51","SUV"
"08:11:22 2017-April-27","35.44","POOR","20.04817354","105.83942676","20.04854449","105.83849989","true","9.39","105.3","SUV"
"08:11:33 2017-April-27","33.59","POOR","20.04854449","105.83849989","20.04895713","105.83763647","true","8.66","101.22","SUV"
"08:11:43 2017-April-27","37.19","POOR","20.04895713","105.83763647","20.04911274","105.836679","true","9.02","101.64","SUV"
"08:11:55 2017-April-27","29.53","POOR","20.04911274","105.836679","20.04898982","105.83572154","true","10.5","101.09","SUV"
"08:12:13 2017-April-27","21.67","POOR","20.04898982","105.83572154","20.04882474","105.83473415","true","11.88","104.9","SUV"
"08:12:27 2017-April-27","26.37","POOR","20.04882474","105.83473415","20.04865806","105.8337854","true","12.23","100.96","SUV"
"08:12:43 2017-April-27","22.75","POOR","20.04865806","105.8337854","20.04848317","105.83283892","true","10.17","100.89","SUV"
"08:13:08 2017-April-27","22.24","POOR","20.04840484","105.83251186","20.04813587","105.83159111","true","11.99","100.82","SUV"
"08:13:27 2017-April-27","20.32","POOR","20.04813587","105.83159111","20.04792439","105.83060548","true","12.99","105.74","SUV"
"08:13:47 2017-April-27","18.48","POOR","20.04792439","105.83060548","20.04762466","105.82965774","true","11.46","104.55","SUV"
"08:14:02 2017-April-27","23.98","POOR","20.04762466","105.82965774","20.04754436","105.82865073","true","13.31","105.72","SUV"
"08:14:16 2017-April-27","26.58","POOR","20.04754436","105.82865073","20.04751368","105.82766267","true","10.14","103.42","SUV"
"08:14:27 2017-April-27","34.93","POOR","20.04751368","105.82766267","20.04748459","105.82663497","true","11.88","107.56","SUV"
"08:14:38 2017-April-27","34.69","POOR","20.04748459","105.82663497","20.04729914","105.8256832","true","6.74","101.67","SUV"
"08:14:49 2017-April-27","34.74","POOR","20.04729914","105.8256832","20.04729588","105.82465047","true","9.48","108.04","SUV"
"08:15:00 2017-April-27","35.1","POOR","20.04729588","105.82465047","20.04740534","105.82361329","true","8.18","109.18","SUV"
"08:15:09 2017-April-27","40.11","POOR","20.04740534","105.82361329","20.04759368","105.82267368","true","8.2","100.49","SUV"
"08:15:19 2017-April-27","37.66","POOR","20.04759368","105.82267368","20.04782553","105.8217054","true","9.83","104.5","SUV"
"08:15:30 2017-April-27","33.51","POOR","20.04782553","105.8217054","20.04795101","105.82073771","true","13.35","102.19","SUV"
"08:15:41 2017-April-27","33.22","POOR","20.04795101","105.82073771","20.04796194","105.81977304","true","10.11","100.93","SUV"
"08:15:52 2017-April-27","32.9","POOR","20.04796194","105.81977304","20.04797385","105.81879898","true","9.52","101.91","SUV"
"08:16:01 2017-April-27","41.42","POOR","20.04797385","105.81879898","20.04796873","105.81780489","true","12.35","104","SUV"
"08:16:12 2017-April-27","35.59","POOR","20.04796873","105.81780489","20.04767885","105.81685429","true","10.17","104.5","SUV"
"08:16:27 2017-April-27","23.93","POOR","20.04767885","105.81685429","20.04813633","105.81601644","true","15.32","101.23","SUV"
"08:16:42 2017-April-27","24.76","POOR","20.04813633","105.81601644","20.04846712","105.81512502","true","11.15","100.19","SUV"
"08:17:00 2017-April-27","21.45","POOR","20.04846712","105.81512502","20.04819748","105.81414619","true","13.86","106.67","SUV"
"08:17:12 2017-April-27","31.01","POOR","20.04819748","105.81414619","20.04820309","105.81318461","true","9.7","100.6","SUV"
"08:17:25 2017-April-27","29.31","POOR","20.04820309","105.81318461","20.04885914","105.81244885","true","10.43","105.83","SUV"
"08:17:42 2017-April-27","22.92","POOR","20.04885914","105.81244885","20.04956301","105.81176966","true","8.71","105.45","SUV"
"08:17:54 2017-April-27","30.12","POOR","20.04956301","105.81176966","20.05022208","105.81108327","true","8.19","102.37","SUV"
"08:18:04 2017-April-27","35.67","POOR","20.05022208","105.81108327","20.05091183","105.81043585","true","10.3","102.07","SUV"
"08:18:18 2017-April-27","27.08","POOR","20.05091183","105.81043585","20.0516017","105.80971719","true","12.29","107.17","SUV"
"08:18:29 2017-April-27","35.11","POOR","20.0516017","105.80971719","20.05233285","105.80903138","true","8.2","108.16","SUV"
"08:18:38 2017-April-27","41.27","POOR","20.05233285","105.80903138","20.05307964","105.80839897","true","8.76","105.89","SUV"
"08:18:46 2017-April-27","45.34","POOR","20.05307964","105.80839897","20.05384378","105.80786956","true","8.15","101.11","SUV"
"08:18:54 2017-April-27","45.94","POOR","20.05384378","105.80786956","20.05457627","105.8072654","true","9","102.81","SUV"
"08:19:03 2017-April-27","44.44","POOR","20.05457627","105.8072654","20.05524992","105.80651639","true","9.31","108.17","SUV"
"08:19:13 2017-April-27","39.46","POOR","20.05524992","105.80651639","20.05566814","105.80556873","true","7.99","109.41","SUV"
"08:19:22 2017-April-27","43.72","POOR","20.05566814","105.80556873","20.05586889","105.80452804","true","8.48","111.11","SUV"
"08:19:30 2017-April-27","46.83","POOR","20.05586889","105.80452804","20.05602207","105.80354593","true","9.04","104.13","SUV"
"08:19:39 2017-April-27","41.92","POOR","20.05602207","105.80354593","20.0561804","105.80258209","true","9.53","102.34","SUV"
"08:19:51 2017-April-27","31.65","POOR","20.0561804","105.80258209","20.05633362","105.80160233","true","9.92","103.89","SUV"
"08:20:04 2017-April-27","28.22","POOR","20.05633362","105.80160233","20.05651953","105.80062073","true","12.27","104.73","SUV"
"08:20:19 2017-April-27","23.96","POOR","20.05651953","105.80062073","20.05665515","105.79967332","true","10.72","100.24","SUV"
"08:20:32 2017-April-27","29.35","POOR","20.05665515","105.79967332","20.05679484","105.79865836","true","11.1","107.3","SUV"
"08:20:43 2017-April-27","33.44","POOR","20.05679484","105.79865836","20.05695807","105.79768195","true","10.01","103.73","SUV"
"08:20:53 2017-April-27","36.24","POOR","20.05695807","105.79768195","20.05705338","105.79670512","true","10.41","102.73","SUV"
"08:21:03 2017-April-27","39.4","POOR","20.05705338","105.79670512","20.05720484","105.79570063","true","9.52","106.41","SUV"
