"time","speed","category","start_lat","start_lon","end_lat","end_lon","is_fixed","iri","distance","suspension"
"16:09:27 2017-February-14","21.23","POOR","19.98235704","105.69317034","19.98280216","105.69227348","true","6.82","106.01","HARD-MEDIUM"
"16:09:44 2017-February-14","21.55","POOR","19.98280216","105.69227348","19.98321283","105.69138835","true","8.85","103.19","HARD-MEDIUM"
"16:09:59 2017-February-14","23.75","POOR","19.98321283","105.69138835","19.98363813","105.69054044","true","7.95","100.46","HARD-MEDIUM"
"16:10:13 2017-February-14","26.68","POOR","19.98363813","105.69054044","19.98408535","105.6896621","true","9.38","104.41","HARD-MEDIUM"
"16:10:25 2017-February-14","31.81","POOR","19.98408535","105.6896621","19.98452975","105.68875719","true","10.21","106.72","HARD-MEDIUM"
"16:10:37 2017-February-14","32.56","POOR","19.98452975","105.68875719","19.98499244","105.68789067","true","7.66","104.15","HARD-MEDIUM"
"16:11:18 2017-February-14","25.24","POOR","19.98574915","105.68720654","19.9864863","105.68665191","true","9.29","100.14","HARD-MEDIUM"
"16:11:29 2017-February-14","32.32","POOR","19.9864863","105.68665191","19.98723644","105.68604078","true","6.63","104.82","HARD-MEDIUM"
"16:11:38 2017-February-14","43.5","POOR","19.98723644","105.68604078","19.98803494","105.68543393","true","7.58","108.85","HARD-MEDIUM"
"16:11:53 2017-February-14","28.63","POOR","19.98803494","105.68543393","19.98841829","105.6845504","true","6.81","101.74","HARD-MEDIUM"
"16:12:26 2017-February-14","28.28","POOR","19.98852717","105.68361078","19.98908477","105.6827446","true","6.42","109.67","HARD-MEDIUM"
"16:12:35 2017-February-14","41.92","POOR","19.98908477","105.6827446","19.98967235","105.68193348","true","11.16","106.94","HARD-MEDIUM"
"16:12:47 2017-February-14","33.54","POOR","19.98967235","105.68193348","19.99010649","105.68098708","true","7.52","110.09","HARD-MEDIUM"
"16:12:57 2017-February-14","36.06","POOR","19.99010649","105.68098708","19.99044067","105.68008301","true","7.73","101.59","HARD-MEDIUM"
"16:13:07 2017-February-14","37.98","POOR","19.99044067","105.68008301","19.99084028","105.67918631","true","8.33","103.75","HARD-MEDIUM"
"16:13:19 2017-February-14","32.61","POOR","19.99084028","105.67918631","19.99127668","105.67824787","true","10.11","109.45","HARD-MEDIUM"
"16:13:34 2017-February-14","26.02","POOR","19.99127668","105.67824787","19.99169867","105.67735612","true","8.91","104.36","HARD-MEDIUM"
"16:13:47 2017-February-14","27.8","POOR","19.99169867","105.67735612","19.99212367","105.67644887","true","8.95","105.97","HARD-MEDIUM"
"16:13:58 2017-February-14","35.85","POOR","19.99212367","105.67644887","19.99246888","105.67548947","true","10.05","107.43","HARD-MEDIUM"
"16:14:09 2017-February-14","35.26","POOR","19.99246888","105.67548947","19.99241637","105.67445355","true","8.77","108.57","HARD-MEDIUM"
"16:14:20 2017-February-14","33.99","POOR","19.99241637","105.67445355","19.99235958","105.67346684","true","13.07","103.45","HARD-MEDIUM"
"16:14:32 2017-February-14","32.28","POOR","19.99235958","105.67346684","19.99235439","105.6724331","true","8.23","108.18","HARD-MEDIUM"
"16:14:42 2017-February-14","35.82","POOR","19.99235439","105.6724331","19.99238276","105.67147546","true","9.83","100.27","HARD-MEDIUM"
"16:14:54 2017-February-14","31.21","POOR","19.99238276","105.67147546","19.99243678","105.67050107","true","8.29","102.15","HARD-MEDIUM"
"16:15:08 2017-February-14","28.08","POOR","19.99243678","105.67050107","19.99250249","105.66949046","true","7.2","106.01","HARD-MEDIUM"
"16:15:22 2017-February-14","27.4","POOR","19.99250249","105.66949046","19.99259625","105.66848321","true","7.81","105.92","HARD-MEDIUM"
"16:15:47 2017-February-14","28.98","POOR","19.99261247","105.6681398","19.99270006","105.66717035","true","7.29","101.92","HARD-MEDIUM"
